County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Clay County, North Carolina(6,10)"	37043	25	14.1	41.8	4	stable	-23.7	-63.3	58.4
"Boulder County, Colorado(6,10)"	8013	24.9	22.4	27.7	75	rising	6.1	1.3	11.1
"Union County, Tennessee(6,10)"	47173	24.9	16	37.2	5	stable	32.5	-4.4	83.6
"Knox County, Tennessee(6,10)"	47093	24.9	23	27.1	120	stable	-7.4	-20.5	7.8
"Bradford County, Florida(6,10)"	12007	24.9	18	33.9	9	stable	-7.8	-23.3	10.9
"Johnson County, Indiana(6,10)"	18081	24.9	21.4	28.8	38	stable	8.7	-15.7	40.1
"York County, Virginia(6,10)"	51199	24.9	19.9	30.9	18	stable	-19	-41.6	12.4
"Juneau County, Wisconsin(6,10)"	55057	24.9	17.8	34.1	9	stable	19.6	-13.1	64.5
"Madison County, Mississippi(6,10)"	28089	24.9	20.6	29.7	25	stable	-7.1	-14.4	0.7
"Waupaca County, Wisconsin(6,10)"	55135	24.9	19.6	31.1	17	stable	-16.8	-34	4.8
"Fleming County, Kentucky(7,8)"	21069	24.8	15.7	37.8	5	stable	3.2	-2.8	9.6
"Williamson County, Illinois(6,10)"	17199	24.8	20	30.5	19	stable	0.8	-9.8	12.7
"Anderson County, Tennessee(6,10)"	47001	24.8	20.4	29.9	24	stable	-13	-34.8	15.9
"Huron County, Ohio(6,10)"	39077	24.8	19.6	31	16	stable	2.6	-24.5	39.3
"Hancock County, Ohio(6,10)"	39063	24.8	20.2	30.2	21	stable	11.6	-11.2	40.4
"York County, Nebraska(6,10)"	31185	24.8	14.9	39	4	stable	-22.8	-58.1	42.2
"Gallia County, Ohio(6,10)"	39053	24.8	17.6	34	8	stable	1.8	-33.3	55.6
"Clarion County, Pennsylvania(6,10)"	42031	24.8	18.4	32.7	11	stable	-0.1	-18	21.7
"Williamson County, Tennessee(6,10)"	47187	24.8	21.6	28.3	48	stable	-10.7	-30.2	14.3
"Harris County, Georgia(7,8)"	13145	24.8	18.1	33.2	10	stable	4.5	-0.3	9.6
"Tioga County, New York(6,10)"	36107	24.8	19.2	31.5	15	stable	-1.2	-31.7	42.7
"Howard County, Maryland(6,10)"	24027	24.8	22.3	27.5	78	stable	-6.6	-13.7	1.1
"Portage County, Ohio(6,10)"	39133	24.8	21.5	28.4	44	stable	6.1	-10.2	25.2
"Saratoga County, New York(6,10)"	36091	24.8	22.1	27.7	64	stable	2.9	-18.7	30.1
"Harrison County, West Virginia(6,10)"	54033	24.8	20.1	30.2	21	stable	-5.8	-33.1	32.7
"Warren County, Missouri(6,10)"	29219	24.7	18	33.3	9	stable	-5.6	-22.9	15.7
"Lake County, Florida(6,10)"	12069	24.7	22.6	27	118	stable	9.2	-1.4	20.9
"Missoula County, Montana(6,10)"	30063	24.7	20.7	29.3	29	stable	-10	-25.6	8.9
"Jersey County, Illinois(6,10)"	17083	24.7	16.7	35.4	7	stable	-23.5	-42.8	2.2
"Clay County, Florida(6,10)"	12019	24.7	21.7	28	52	stable	6.4	-12.1	28.7
"Union County, North Carolina(6,10)"	37179	24.7	21.6	28.1	49	stable	4.4	-9.3	20.2
"Marion County, Ohio(6,10)"	39101	24.7	19.8	30.5	18	stable	-6	-23.6	15.7
"Monroe County, Wisconsin(6,10)"	55081	24.7	18.9	31.8	13	stable	-6.1	-27.8	22.1
"Sequatchie County, Tennessee(6,10)"	47153	24.7	14.8	38.9	4	stable	0.1	-32.8	49.1
"Marathon County, Wisconsin(6,10)"	55073	24.7	21.2	28.6	38	stable	9.5	-19.1	48.1
"Madison County, Montana(6,10)"	30057	24.7	12.3	45.7	3	*	*	*	*
"Somerset County, New Jersey(7,8)"	34035	24.7	22.4	27.1	92	stable	-0.5	-2.6	1.8
"Lake County, South Dakota(6,10)"	46079	24.7	13.8	40.9	4	stable	-27.2	-73.3	99
"Marshall County, Illinois(6,10)"	17123	24.7	13.9	40.6	4	*	*	*	*
"Bannock County, Idaho(6,10)"	16005	24.7	19.9	30.1	20	stable	0.2	-30	43.4
"Warren County, New York(6,10)"	36113	24.7	20.1	30.1	22	stable	-0.7	-8.6	7.9
"Albany County, Wyoming(6,10)"	56001	24.6	17.2	34.3	8	stable	-4.7	-22.7	17.4
"Montrose County, Colorado(6,10)"	8085	24.6	19	31.6	14	stable	-6.5	-19.5	8.7
"Benton County, Arkansas(6,10)"	5007	24.6	21.8	27.7	58	stable	8.6	-9	29.7
"Hood River County, Oregon(6,10)"	41027	24.6	16.7	35.1	6	stable	17.4	-34.9	111.9
"Essex County, New York(6,10)"	36031	24.6	18.8	31.7	13	stable	-3.5	-33	39.1
"Warren County, Illinois(6,10)"	17187	24.6	15.5	37.1	5	stable	7.2	-4.8	20.7
"Okanogan County, Washington(6,10)"	53047	24.6	18.6	31.9	13	stable	8.3	-24.9	56
"Canyon County, Idaho(6,10)"	16027	24.6	21.4	28.1	45	stable	-3.3	-25.2	24.9
"Uinta County, Wyoming(6,10)"	56041	24.5	14.7	38	4	stable	6	-40.3	88.3
"Mercer County, West Virginia(6,10)"	54055	24.5	19.8	30.2	20	stable	-8.2	-22.7	8.9
"Autauga County, Alabama(6,10)"	1001	24.5	19.2	31	15	stable	-7.1	-26.3	17.2
"Lincoln County, Oregon(6,10)"	41041	24.5	19.1	31.2	17	stable	-15.7	-32.6	5.3
"Posey County, Indiana(6,10)"	18129	24.5	16.9	34.4	7	stable	24.3	-9.5	70.7
"Ohio County, Kentucky(7,8)"	21183	24.5	16.8	34.6	7	rising	6.1	1.3	11.2
"Grant County, Wisconsin(6,10)"	55043	24.5	19	31.1	15	stable	-0.4	-15.1	17
"Ottawa County, Michigan(6,10)"	26139	24.5	21.9	27.3	67	stable	-2.3	-23.8	25.2
"Jefferson Davis County, Mississippi(6,10)"	28065	24.5	14.2	39.6	4	stable	16.9	-21.5	74.1
"Morgan County, Indiana(6,10)"	18109	24.4	19.6	30.1	19	stable	-2.5	-23.8	24.9
"Hanover County, Virginia(6,10)"	51085	24.4	20.5	28.9	30	stable	3.6	-14.4	25.4
"Bonner County, Idaho(6,10)"	16017	24.4	18.6	31.6	14	stable	-1.2	-18.9	20.3
"Chippewa County, Wisconsin(6,10)"	55017	24.4	19.5	30.2	18	stable	4.1	-2.4	11
"Cass County, Illinois(6,10)"	17017	24.3	14.5	38.6	4	stable	17.6	-22.3	77.8
"Lancaster County, Pennsylvania(6,10)"	42071	24.3	22.6	26.2	149	stable	7	-4.9	20.5
"Clay County, Iowa(7)"	19041	24.3	14.9	37.5	5	*	*	*	*
"LaPorte County, Indiana(6,10)"	18091	24.3	20.5	28.6	30	stable	-7.5	-37.4	36.6
"Muskingum County, Ohio(6,10)"	39119	24.3	20	29.3	24	stable	3.5	-23.9	40.7
"Clatsop County, Oregon(6,10)"	41007	24.3	18.1	32	12	stable	5.8	-16.9	34.6
"Swain County, North Carolina(6,10)"	37173	24.3	15.1	37.5	4	stable	-18.8	-54.4	44.8
"Yadkin County, North Carolina(6,10)"	37197	24.3	18.2	31.8	12	stable	6.4	-10.3	26.2
"Larue County, Kentucky(7)"	21123	24.3	14.7	38	4	*	*	*	*
"Monterey County, California(7,8)"	6053	24.2	22.1	26.5	98	rising	4.3	2.8	5.9
"Greene County, Indiana(6,10)"	18055	24.2	17.8	32.3	10	stable	-2.8	-21.8	20.7
"Lafayette County, Mississippi(6,10)"	28071	24.2	18	31.9	10	stable	17.6	-21.7	76.6
"Venango County, Pennsylvania(6,10)"	42121	24.2	19.1	30.4	17	stable	10.4	-9.4	34.4
"Cedar County, Iowa(7)"	19031	24.2	15.8	35.8	5	*	*	*	*
"Tattnall County, Georgia(7)"	13267	24.2	16.2	34.8	6	*	*	*	*
"Benewah County, Idaho(6,10)"	16009	24.2	13.2	41.5	3	*	*	*	*
"Caldwell County, Kentucky(7,8)"	21033	24.2	14.5	38.2	4	stable	1.5	-4.5	8
"Lafayette County, Wisconsin(6,10)"	55065	24.1	15	36.9	5	*	*	*	*
"Cabell County, West Virginia(6,10)"	54011	24.1	20.1	28.8	26	stable	16	-15.4	58.9
"Klickitat County, Washington(6,10)"	53039	24.1	16.4	34.6	7	stable	-20.9	-41.8	7.3
"Fentress County, Tennessee(6,10)"	47049	24.1	15.3	36.4	5	stable	16.4	-27.7	87.3
"Madison County, Nebraska(6,10)"	31119	24.1	17.7	32.1	10	stable	-9.1	-23.8	8.4
"Breathitt County, Kentucky(7)"	21025	24.1	14	38.8	4	*	*	*	*
"Cabarrus County, North Carolina(6,10)"	37025	24.1	21	27.5	45	stable	-2.3	-16.8	14.8
"Washington County, Wisconsin(6,10)"	55131	24.1	20.7	27.9	38	stable	-6.7	-19.5	8.1
"Green Lake County, Wisconsin(6,10)"	55047	24.1	16.2	34.9	7	stable	-12.6	-44.2	37
"Lamar County, Alabama(6,10)"	1075	24.1	14.9	37.4	5	stable	2.2	-35.7	62.3
"Washington County, Arkansas(6,10)"	5143	24.1	21	27.5	45	stable	0.6	-25.8	36.4
"Greene County, Iowa(7)"	19073	24.1	13.6	40.7	3	*	*	*	*
"Lawrence County, Alabama(6,10)"	1079	24.1	17.9	31.9	11	stable	-12.1	-30.3	10.8
"Chickasaw County, Mississippi(6,10)"	28017	24.1	15.3	36.1	5	stable	-18.5	-45.4	21.8
"Adams County, Wisconsin(6,10)"	55001	24.1	16.7	34.3	8	stable	7.2	-17.7	39.8
"Brown County, South Dakota(6,10)"	46013	24	17.7	31.9	10	stable	-3.3	-33.2	39.8
"Woodbury County, Iowa(7,8)"	19193	24	19.9	28.7	25	stable	-4.2	-10.4	2.4
"Washita County, Oklahoma(6,10)"	40149	24	13.5	39.8	3	*	*	*	*
"Greene County, Tennessee(6,10)"	47059	24	19.6	29.2	22	stable	-1.3	-6.8	4.5
"St. Francois County, Missouri(6,10)"	29187	24	19.2	29.7	18	stable	-9.6	-28.3	14
"Pulaski County, Indiana(6,10)"	18131	24	14.3	38	4	stable	-2.1	-42.1	65.7
"Henry County, Alabama(6,10)"	1067	24	15.8	35.4	6	stable	3.6	-29.5	52.5
"Suwannee County, Florida(6,10)"	12121	24	18.1	31.2	12	stable	26.7	-24.1	111.3
"Sheboygan County, Wisconsin(6,10)"	55117	24	20.3	28.1	33	stable	-2.6	-22	21.6
"Mifflin County, Pennsylvania(6,10)"	42087	23.9	18.5	30.6	15	stable	4.1	-12.9	24.4
"Mackinac County, Michigan(6,10)"	26097	23.9	13.2	40.7	4	stable	5.3	-13.1	27.6
"Catoosa County, Georgia(7,8)"	13047	23.9	19.1	29.6	18	stable	2.5	-1.4	6.6
"Rush County, Indiana(6,10)"	18139	23.9	14.7	36.9	4	stable	16.2	-13.4	56
"Alexander County, North Carolina(6,10)"	37003	23.9	17.8	31.6	11	stable	-4.1	-43.6	63.2
"Hamilton County, Iowa(7,8)"	19079	23.9	14.9	36.5	5	rising	4.6	0.3	9.2
"Cleveland County, North Carolina(6,10)"	37045	23.9	19.9	28.4	27	stable	9.9	-3.2	24.7
"Georgetown County, South Carolina(6,10)"	45043	23.9	19	29.6	20	stable	-8.7	-22.2	7.2
"Whitley County, Kentucky(7,8)"	21235	23.9	17.5	31.8	10	stable	4.7	-0.4	10
"Cleveland County, Oklahoma(6,10)"	40027	23.8	21.1	26.8	58	rising	6.9	0.2	14
"Shawano County, Wisconsin(6,10)"	55115	23.8	17.9	31.1	12	stable	-6.8	-40.9	47.1
"Morgan County, Alabama(6,10)"	1103	23.8	20.2	27.9	32	stable	-3.3	-22.9	21.4
"Marshall County, Iowa(7,8)"	19127	23.8	17.9	31	12	rising	2.5	0.2	4.8
"Gasconade County, Missouri(6,10)"	29073	23.8	15.2	35.9	5	stable	-11.4	-37.2	25.1
"Christian County, Missouri(6,10)"	29043	23.7	19.3	29	20	stable	2.7	-22.7	36.5
"Magoffin County, Kentucky(7,8)"	21153	23.7	13.8	38.3	4	falling	-3.6	-6.7	-0.3
"Richmond County, North Carolina(6,10)"	37153	23.7	18	30.7	12	stable	-1.2	-25.8	31.6
"Roscommon County, Michigan(6,10)"	26143	23.7	15.7	34.6	8	stable	0.7	-32.4	50
"Logan County, Ohio(6,10)"	39091	23.7	17.9	30.8	12	rising	8.9	1.3	17
"Wyoming County, New York(6,10)"	36121	23.7	17.9	30.9	12	stable	-10.2	-35.8	25.8
"Nassau County, New York(6,10)"	36059	23.7	22.6	24.8	393	stable	-2.5	-9.9	5.5
"Mason County, Kentucky(7,8)"	21161	23.7	15	35.8	5	stable	4.1	-2.9	11.6
"Lewis County, New York(6,10)"	36049	23.7	16.5	32.9	8	stable	5.1	-34.2	67.9
"Appanoose County, Iowa(7)"	19007	23.7	14.1	37.8	4	*	*	*	*
"Fayette County, Alabama(6,10)"	1057	23.6	15.3	35.2	5	stable	-13.1	-37.6	21.2
"Roane County, Tennessee(6,10)"	47145	23.6	18.6	29.6	17	stable	-17.1	-37.3	9.6
"Morgan County, Illinois(6,10)"	17137	23.6	17.4	31.5	10	stable	3.8	-21.7	37.6
"Washtenaw County, Michigan(6,10)"	26161	23.6	21.3	26.1	80	stable	3.4	-18.8	31.6
"Mercer County, New Jersey(7,8)"	34021	23.6	21.5	25.9	95	stable	0.7	-2.4	3.9
"Crawford County, Arkansas(6,10)"	5033	23.6	18.6	29.6	16	stable	-8.6	-30.9	20.9
"Litchfield County, Connecticut(7,8)"	9005	23.6	20.9	26.6	59	stable	-6.4	-13	0.8
"Waushara County, Wisconsin(6,10)"	55137	23.6	16.6	32.9	8	stable	14.9	-5.5	39.8
"Livingston County, Michigan(6,10)"	26093	23.6	20.6	26.9	49	stable	2.2	-5.3	10.3
"Tazewell County, Illinois(6,10)"	17179	23.6	20.3	27.3	38	stable	-1.9	-10.3	7.2
"Adair County, Kentucky(7,8)"	21001	23.6	15.6	34.6	6	stable	3.2	-2.2	8.9
"Perry County, Pennsylvania(6,10)"	42099	23.6	18.1	30.2	14	stable	-4.1	-30.3	32
"Pearl River County, Mississippi(6,10)"	28109	23.6	18.4	29.8	15	stable	-6	-30.2	26.7
"Sandusky County, Ohio(6,10)"	39143	23.6	18.5	29.6	16	rising	37.7	13.1	67.7
"Elmore County, Idaho(6,10)"	16039	23.5	15.5	34.1	6	stable	-5.9	-26.1	19.8
"Geauga County, Ohio(6,10)"	39055	23.5	19.3	28.4	25	stable	-13.6	-30	6.6
"Grayson County, Kentucky(7,8)"	21085	23.5	16.2	33.1	7	stable	3.1	-2.8	9.4
"Parker County, Texas(6,10)"	48367	23.5	19.9	27.6	32	stable	-4.3	-20.1	14.7
"Barron County, Wisconsin(6,10)"	55005	23.5	17.8	30.4	13	stable	11.2	-16.8	48.6
"Spalding County, Georgia(7,8)"	13255	23.5	18.6	29.3	17	stable	2.2	-1.2	5.7
"Webster County, Missouri(6,10)"	29225	23.5	17.2	31.4	10	stable	1.5	-23.3	34.4
"Tompkins County, New York(6,10)"	36109	23.5	19.2	28.5	22	stable	7.9	-14.3	35.7
"Scotts Bluff County, Nebraska(6,10)"	31157	23.5	17.4	31.2	11	stable	-3.6	-22.4	19.8
"Jackson County, Mississippi(6,10)"	28059	23.5	20.1	27.3	35	stable	-6.9	-26.1	17.3
"Colbert County, Alabama(6,10)"	1033	23.5	18.6	29.4	16	stable	-9.7	-22.4	5.1
"Crook County, Oregon(6,10)"	41013	23.5	15.7	34.1	7	stable	0.5	-45.9	86.7
"Independence County, Arkansas(6,10)"	5063	23.4	17.3	31.1	10	stable	25.4	-10.7	76.3
"Hardin County, Iowa(7)"	19083	23.4	14.3	36.2	5	*	*	*	*
"Morgan County, Tennessee(6,10)"	47129	23.4	15.6	33.9	6	stable	-18.4	-46.4	24.1
"Powhatan County, Virginia(6,10)"	51145	23.4	16.3	32.7	8	stable	8.3	-18.6	44
"Hardin County, Kentucky(7,8)"	21093	23.4	19.4	27.9	25	rising	3.8	0.6	7.1
"New London County, Connecticut(7,8)"	9011	23.4	21	25.9	75	falling	-2.9	-5.4	-0.3
"Steuben County, New York(6,10)"	36101	23.4	19.5	27.8	27	stable	-5.5	-10.9	0.1
"Spokane County, Washington(6,10)"	53063	23.4	21.5	25.4	121	stable	-3.3	-13.6	8.3
"Jackson County, Ohio(6,10)"	39079	23.4	16.7	31.8	8	stable	6.3	-8.8	23.9
"St. Lawrence County, New York(6,10)"	36089	23.3	19.5	27.7	28	stable	-4.6	-15.6	7.9
"Dale County, Alabama(6,10)"	1045	23.3	17.9	30	13	stable	1.7	-17.8	25.9
"Bureau County, Illinois(6,10)"	17011	23.3	17.2	31	11	stable	4.2	-40.5	82.2
"Kenton County, Kentucky(7,8)"	21117	23.3	20.1	26.9	39	rising	3.7	0.9	6.6
"Douglas County, Missouri(6,10)"	29067	23.3	13.6	37.5	4	stable	1.8	-15.6	22.8
"Harlan County, Kentucky(7,8)"	21095	23.3	16.2	32.4	8	stable	3.2	-1.7	8.4
"Jones County, Iowa(7,8)"	19105	23.3	15.2	34.2	6	stable	-0.3	-2.8	2.2
"Marshall County, Oklahoma(6,10)"	40095	23.3	14.4	35.9	5	stable	6	-54.6	147.6
"Crenshaw County, Alabama(6,10)"	1041	23.3	13.8	37	4	stable	-15.7	-38.7	15.8
"Clay County, Alabama(6,10)"	1027	23.3	13.9	36.9	4	*	*	*	*
"Bartow County, Georgia(7,8)"	13015	23.2	19.1	28	23	stable	-0.8	-4.5	2.9
"Carter County, Tennessee(6,10)"	47019	23.2	18.4	29	17	stable	-2.7	-30.6	36.6
"Pima County, Arizona(6,10)"	4019	23.2	22	24.5	280	stable	3.8	-15.2	27
"Armstrong County, Pennsylvania(6,10)"	42005	23.2	18.7	28.5	21	stable	7.6	-17	39.5
"Washington County, New York(6,10)"	36115	23.2	18.5	28.8	18	stable	-7.4	-22.7	10.9
"Rowan County, Kentucky(7,8)"	21205	23.2	15.1	34.1	5	stable	2.4	-2.2	7.1
"Sanders County, Montana(6,10)"	30089	23.2	12.1	40.5	4	*	*	*	*
"Frederick County, Maryland(6,10)"	24021	23.2	20.5	26.1	59	stable	6.9	-0.6	14.9
"Wyoming County, Pennsylvania(6,10)"	42131	23.2	16.5	31.8	9	stable	-23.7	-46.8	9.4
"Houston County, Alabama(6,10)"	1069	23.1	19.4	27.5	27	stable	-14	-26.3	0.3
"Wood County, Ohio(6,10)"	39173	23.1	19.6	27.2	31	stable	6.3	-12.4	29
"Berks County, Pennsylvania(6,10)"	42011	23.1	21.2	25.2	110	stable	-3.7	-12.2	5.5
"Clarke County, Georgia(7,8)"	13059	23.1	18.8	28.1	21	rising	8.9	1.2	17.3
"Albemarle County, Virginia(6,10)"	51003	23.1	19.3	27.5	27	stable	-9	-41.3	41
"Lancaster County, South Carolina(6,10)"	45057	23.1	18.9	27.9	23	stable	0.7	-14.8	18.9
"Clay County, Texas(6,10)"	48077	23.1	12.7	39.2	3	*	*	*	*
"Asotin County, Washington(6,10)"	53003	23.1	15.6	33.1	7	stable	-12.9	-47	43.2
"Collier County, Florida(6,10)"	12021	23	21.2	25.1	135	stable	7.1	-3.7	19.2
"Gordon County, Georgia(7,8)"	13129	23	17.7	29.5	13	stable	1.9	-2.1	6.1
"Chautauqua County, New York(6,10)"	36013	23	19.8	26.7	39	stable	7	-7.5	23.8
"Buncombe County, North Carolina(6,10)"	37021	23	20.6	25.7	69	stable	-5.9	-19.5	10
"Pottawattamie County, Iowa(7,8)"	19155	23	18.9	27.8	23	rising	3.9	2.1	5.7
"Kent County, Michigan(6,10)"	26081	23	21.3	24.8	143	stable	-11	-33	18.1
"Onslow County, North Carolina(6,10)"	37133	23	19.4	27.1	31	rising	10.5	0.4	21.6
"Whitfield County, Georgia(7,8)"	13313	23	19	27.6	23	rising	6.4	2.7	10.2
"St. Clair County, Alabama(6,10)"	1115	23	18.8	27.9	22	stable	-4.1	-39.5	52.1
"Pointe Coupee Parish, Louisiana(7)"	22077	23	15	33.7	6	*	*	*	*
"Fayette County, Texas(6,10)"	48149	23	15.6	32.8	7	stable	-4.5	-44.5	64.5
"Pickaway County, Ohio(6,10)"	39129	23	17.9	29.1	14	stable	11.1	-20.5	55.1
"Wakulla County, Florida(6,10)"	12129	23	16	32	7	rising	25.5	1.3	55.6
"Champaign County, Ohio(6,10)"	39021	23	16.9	30.5	10	stable	4.9	-30	57
"Yuba County, California(7,8)"	6115	23	18	28.8	15	rising	5.4	1.5	9.5
"Rowan County, North Carolina(6,10)"	37159	23	19.7	26.6	37	stable	2.9	-13.9	22.9
"Page County, Iowa(7)"	19145	22.9	14.6	34.8	5	*	*	*	*
"St. Clair County, Michigan(6,10)"	26147	22.9	19.9	26.4	43	stable	-2.8	-15.4	11.8
"Lee County, Florida(6,10)"	12071	22.9	21.5	24.4	232	stable	5.3	-6.9	19.1
"Madison County, New York(6,10)"	36053	22.9	18.4	28.2	19	stable	5.5	-12.3	27
"Chemung County, New York(6,10)"	36015	22.9	18.9	27.6	24	stable	-1.6	-10.1	7.8
"Sutter County, California(7,8)"	6101	22.9	18.8	27.6	22	stable	2.1	-0.7	5.1
"Gilchrist County, Florida(6,10)"	12041	22.9	14.3	35	5	stable	3.6	-27	47
"Mitchell County, North Carolina(6,10)"	37121	22.9	14.6	34.7	5	stable	7.4	-43	102.6
"Macon County, North Carolina(6,10)"	37113	22.9	16.8	30.5	12	stable	4.8	-14.2	27.9
"Bell County, Kentucky(7,8)"	21013	22.9	16.1	31.6	8	stable	1.9	-2.9	6.9
"Huron County, Michigan(6,10)"	26063	22.8	16	31.6	9	stable	11.1	-23.8	62.2
"Wabash County, Indiana(6,10)"	18169	22.8	16.6	30.7	10	stable	-14.1	-42.5	28.3
"Palm Beach County, Florida(6,10)"	12099	22.8	21.8	23.8	468	stable	1.4	-7	10.6
"Lincoln County, New Mexico(7)"	35027	22.8	15.5	32.9	7	*	*	*	*
"Ottawa County, Ohio(6,10)"	39123	22.8	17.2	29.7	13	stable	11.6	-13.7	44.5
"Niagara County, New York(6,10)"	36063	22.8	20.2	25.6	62	stable	8.7	-0.5	18.6
"Sumter County, Florida(6,10)"	12119	22.8	19.5	26.7	64	stable	13.4	-1.2	30.2
"Yamhill County, Oregon(6,10)"	41071	22.8	18.9	27.2	25	stable	2.5	-13.6	21.7
"Columbia County, Florida(6,10)"	12023	22.7	18.2	28.1	19	stable	-6	-25.2	18.1
"Pinellas County, Florida(6,10)"	12103	22.7	21.5	24	308	stable	7	-5.8	21.5
"Henrico County, Virginia(6,10)"	51087	22.7	20.5	25.2	76	stable	1	-10.2	13.6
"Somerset County, Maryland(6,10)"	24039	22.7	15.5	32.2	7	stable	2.9	-30.1	51.5
"Conecuh County, Alabama(6,10)"	1035	22.7	12.8	37.3	4	stable	3.9	-42	86.3
"Wexford County, Michigan(6,10)"	26165	22.7	16.3	30.7	9	rising	34.3	7.2	68.1
"Douglas County, Nebraska(6,10)"	31055	22.7	20.8	24.6	116	stable	12.1	-6	33.8
"Licking County, Ohio(6,10)"	39089	22.6	19.6	26	42	stable	2.4	-12.8	20.3
"Rockdale County, Georgia(7,8)"	13247	22.6	18.2	27.8	20	stable	-1.1	-3.7	1.5
"Wayne County, New York(6,10)"	36117	22.6	18.7	27.2	24	stable	-1.1	-4.7	2.6
"Meade County, Kentucky(7)"	21163	22.6	15.3	32.2	6	*	*	*	*
"Otsego County, New York(6,10)"	36077	22.6	18	28.2	18	stable	7.9	-12.7	33.3
"Madison County, Idaho(6,10)"	16065	22.6	14.1	34	5	stable	2.2	-43.9	86
"Addison County, Vermont(6,10)"	50001	22.6	16.8	30	11	stable	7.7	-30.2	66.2
"Bedford City and County, Virginia(6,10)"	51917	22.6	18.4	27.5	22	stable	-1.3	-16.4	16.5
"Peoria County, Illinois(6,10)"	17143	22.6	19.8	25.8	47	falling	-7	-10.8	-3.1
"Riverside County, California(7,8)"	6065	22.6	21.7	23.5	513	stable	0.7	-0.4	1.8
"Buffalo County, Wisconsin(6,10)"	55011	22.6	13.1	36.6	4	stable	20.5	-45.6	167.2
"Floyd County, Virginia(6,10)"	51063	22.5	13.7	35.2	4	stable	6.9	-20.6	43.9
"Sangamon County, Illinois(6,10)"	17167	22.5	19.8	25.6	50	stable	2.7	-5.3	11.3
"Brantley County, Georgia(7)"	13025	22.5	13.7	34.7	4	*	*	*	*
"Jackson County, Michigan(6,10)"	26075	22.5	19.5	25.8	43	stable	-0.2	-12.3	13.6
"Fredericksburg City, Virginia(6,10)"	51630	22.5	14.3	33.4	5	stable	39.2	-12.1	120.4
"Payette County, Idaho(6,10)"	16075	22.5	14.7	32.9	6	stable	-9.1	-45.8	52.4
"Walker County, Alabama(6,10)"	1127	22.5	17.8	28	17	stable	5.9	-15.8	33.1
"Wayne County, Ohio(6,10)"	39169	22.4	18.9	26.5	30	stable	11.5	-3.7	29.1
"DeSoto County, Florida(6,10)"	12027	22.4	16.3	30.2	9	stable	-1.9	-38.4	56.2
"Lebanon County, Pennsylvania(6,10)"	42075	22.4	19.2	26	37	stable	0.6	-18.2	23.7
"Lake County, Illinois(6,10)"	17097	22.4	20.8	24.1	160	stable	-2.1	-8.3	4.5
"Lincoln County, Missouri(6,10)"	29113	22.4	16.9	29	12	stable	-0.3	-31.1	44.2
"Scott County, Kentucky(7,8)"	21209	22.4	16.4	29.8	10	stable	12.9	-12.1	45.2
"Laramie County, Wyoming(6,10)"	56021	22.4	18.4	27	23	stable	-5	-15.2	6.4
"Rensselaer County, New York(6,10)"	36083	22.4	19.4	25.8	41	stable	-1.8	-25	28.7
"Vermilion County, Illinois(6,10)"	17183	22.4	18.2	27.2	22	stable	7.8	-28.7	63
"Braxton County, West Virginia(6,10)"	54007	22.4	14.2	34.3	5	stable	21	-21.6	86.8
"Douglas County, Illinois(6,10)"	17041	22.4	14.5	33.1	5	stable	10.8	-22.6	58.4
"Scott County, Mississippi(6,10)"	28123	22.4	15.3	31.6	7	stable	-5.4	-20.1	12.1
"Southampton County, Virginia(6,10)"	51175	22.4	13.9	34.2	5	stable	-16.7	-51.4	42.7
"York County, South Carolina(6,10)"	45091	22.4	19.7	25.3	53	stable	1.7	-21.8	32.1
"Otsego County, Michigan(6,10)"	26137	22.4	15	32.2	7	stable	-9.5	-26.1	10.8
"Putnam County, Ohio(6,10)"	39137	22.3	15.8	30.6	8	stable	-1.1	-39.9	62.8
"Rhea County, Tennessee(6,10)"	47143	22.3	15.9	30.5	9	stable	-0.8	-32.5	45.7
"Dallas County, Missouri(6,10)"	29059	22.3	14	34	5	stable	8.6	-11.6	33.5
"Clarke County, Mississippi(6,10)"	28023	22.3	14.2	33.7	5	stable	20.4	-4	51
"Mercer County, Pennsylvania(6,10)"	42085	22.3	18.9	26.2	34	stable	19.2	-0.4	42.7
"Jefferson County, Oregon(6,10)"	41031	22.3	14.5	32.8	6	stable	23	-52.4	217.9
"Montague County, Texas(6,10)"	48337	22.3	14.7	32.6	6	stable	25.1	-16.2	86.8
"Union County, Pennsylvania(6,10)"	42119	22.3	16.8	29	11	stable	-3.1	-27.3	29.3
"Johnson County, Illinois(6,10)"	17087	22.3	13	36.2	4	stable	-9.9	-42.4	40.8
"Pulaski County, Arkansas(6,10)"	5119	22.2	20.2	24.4	91	stable	9.5	-20.9	51.6
"Coffee County, Alabama(6,10)"	1031	22.2	17.1	28.5	13	stable	8.8	-26.7	61.5
"Gaston County, North Carolina(6,10)"	37071	22.2	19.6	25.2	51	rising	13.1	1.4	26.2
"Fremont County, Wyoming(6,10)"	56013	22.2	16.3	29.6	10	stable	11.7	-13.9	44.9
"Charlevoix County, Michigan(6,10)"	26029	22.2	15.9	30.7	9	stable	-3.8	-39.4	52.8
"Ingham County, Michigan(6,10)"	26065	22.2	19.7	25	60	stable	-4.1	-22.3	18.4
