County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Cobb County, Georgia(7,8)"	13067	37.1	35	39.3	247	rising	3.2	2.6	3.7
"Calaveras County, California(7,8)"	6009	37.1	30.1	45.4	24	rising	8.6	3.8	13.6
"Hawkins County, Tennessee(6,10)"	47073	37	30.8	44.2	27	falling	-18.5	-31.9	-2.5
"Placer County, California(7,8)"	6061	36.9	34.3	39.6	161	rising	2.7	0.9	4.5
"Taylor County, Iowa(7)"	19173	36.9	20.4	62.7	3	*	*	*	*
"El Dorado County, California(7,8)"	6017	36.9	33.2	40.8	84	rising	2.6	0.4	4.8
"Piatt County, Illinois(6,10)"	17147	36.7	25.1	51.9	7	stable	1.9	-23.3	35.3
"Nelson County, Kentucky(7,8)"	21179	36.7	29.3	45.4	18	stable	1.6	-1.5	4.6
"Hamilton County, Illinois(6,10)"	17065	36.6	22	58	4	stable	21.6	-13.2	70.4
"Mathews County, Virginia(6,10)"	51115	36.6	22.2	58.1	5	stable	-24.8	-67.5	74.1
"Lamoille County, Vermont(6,10)"	50015	36.6	27.2	48.2	11	stable	10	-6.1	28.8
"Pickens County, South Carolina(6,10)"	45077	36.5	31.9	41.6	48	stable	5.3	-9.5	22.5
"Jackson County, Iowa(7)"	19097	36.5	26.3	49.6	9	*	*	*	*
"Teller County, Colorado(6,10)"	8119	36.5	26	49.9	10	stable	14.8	-10	46.3
"Island County, Washington(7,8)"	53029	36.4	31.2	42.2	41	stable	-2.3	-6	1.5
"Accomack County, Virginia(6,10)"	51001	36.3	28.6	45.6	16	stable	12	-17.9	52.9
"Maui County, Hawaii(7,8)"	15009	36.3	32.4	40.5	68	stable	2.5	-0.4	5.6
"Kossuth County, Iowa(7)"	19109	36.2	24.4	51.8	7	*	*	*	*
"Green County, Kentucky(7)"	21087	36.1	22.4	55.4	5	*	*	*	*
"Hunterdon County, New Jersey(7,8)"	34019	36	31.6	40.9	54	rising	5	2.9	7.2
"Benton County, Oregon(6,10)"	41003	36	30.4	42.4	32	stable	0.3	-16.3	20.1
"Kitsap County, Washington(7,8)"	53035	35.9	32.8	39.3	105	rising	3.6	2.6	4.6
"Jessamine County, Kentucky(7,8)"	21113	35.9	28.8	44.2	18	stable	3.4	-0.6	7.5
"Mono County, California(7,8)"	6051	35.8	22.5	54.1	5	stable	6.3	-0.9	14
"Washington County, Kentucky(7)"	21229	35.7	22.1	54.5	5	*	*	*	*
"Washington County, Tennessee(6,10)"	47179	35.5	31.2	40.4	50	stable	-1.3	-17.7	18.3
"Sevier County, Utah(7,8)"	49041	35.4	25	48.6	8	rising	5.1	2.7	7.5
"Greenville County, South Carolina(6,10)"	45045	35.3	33	37.8	178	stable	6.6	-0.7	14.3
"Indian River County, Florida(6,10)"	12061	35.3	31.6	39.4	86	stable	11.7	-4.8	31.1
"Juab County, Utah(7)"	49023	35.1	19.9	57.1	3	*	*	*	*
"Jackson County, West Virginia(6,10)"	54035	35.1	26.7	45.3	13	stable	9.3	-26.3	62.1
"Outagamie County, Wisconsin(6,10)"	55087	34.9	31.2	39	65	stable	-10.3	-19.9	0.4
"Duchesne County, Utah(7)"	49013	34.9	23.4	49.9	6	*	*	*	*
"Belknap County, New Hampshire(6,10)"	33001	34.9	29.1	41.6	28	stable	2.6	-17.9	28.2
"Union County, Georgia(7,8)"	13291	34.8	26	46.3	13	stable	-2.3	-7.1	2.9
"Polk County, Oregon(6,10)"	41053	34.8	29.2	41.3	29	stable	-8.8	-21.5	5.9
"Alamance County, North Carolina(6,10)"	37001	34.8	31	38.9	63	stable	7.1	-15.4	35.6
