FIPS	Age-Adjusted Incidence Rate	Value (Dollars)	Avg Daily Sunlight (KJ/m²)	neighbor_ave_incedence	neighbor_min_incedence	neighbor_max_incedence	UV_ Wh/m²	neighbor_ave_uv	neighbor_min_uv	neighbor_max_uv
21087	36.1	46674	15286.32	29.9	21.9	43.6	4147.39	4143.218	4127.56	4163.48
21089	28.5	54749	14953.09	22.86	18	28.5	3930.04	3929.518	3912.85	3950.78
21093	23.4	61110	15227.63	24.95	18.4	36.7	4149.19	4146.667	4116.44	4183.65
21095	23.3	34648	15120.19	19.7	7.1	25.2	4067.76	4062.474	4047.19	4098.55
21097	17.5	48526	15032.93	20.7	17.2	25.7	4016.31	4024.83	4016.31	4038.86
21099	21.9	42412	15358.71	24.9	20.2	36.1	4163.48	4160.93833333333	4139.17	4183.65
21101	16.6	53710	15462.87	20.22	14.4	29	4232.79	4220.864	4204.58	4232.79
21103	38.6	55642	15076.26	33.9285714285714	30.9	38.6	4066.04	4068.51857142857	4044.69	4091.13
21107	21.3	55522	15520.59	23.6	21.3	26.8	4258.04	4264.5675	4243.02	4280.88
21109	27.2	31781	15070.97	25.1	18.8	30.5	4055.04	4063.74666666667	4042.22	4086.85
21111	21.8	62932	15135.82	23.7555555555556	12.7	33	4116.44	4114.65666666667	4081.27	4149.19
21113	35.9	59065	15053.26	29.0833333333333	25.6	35.9	4061.95	4063.13166666667	4043.92	4081.76
21115	21.4	43770	14907.24	20.7	17.6	23.7	3990.41	3994.875	3967.82	4017.77
21117	23.3	66313	14992.77	23.2	17.2	28.9	4002.64	4005.566	3992.5	4023.1
21121	19.4	33642	15066.6	23.1	18.8	30.5	4097.05	4093.872	4070.07	4116.84
21123	24.3	47527	15220.61	30.2142857142857	21.9	43.6	4139.17	4137.51285714286	4116.62	4163.48
21125	30.5	43236	15116.29	23.2875	18.3	30.5	4086.85	4091.25	4055.04	4125.68
21127	20.1	44529	14927.13	21.66	18	28.5	3967.82	3960.958	3939.36	3990.41
21133	20	41524	14952.21	19.3	7.1	25.2	4047.19	4047.566	4024.01	4067.76
21137	34.5	43356	15127.59	27.2333333333333	18.9	34.5	4084.58	4088.16666666667	4072.24	4105.82
21141	27.1	47879	15555.34	25.3	17.8	29	4245.85	4236.16833333333	4213.44	4262.6
21143	25.4	57405	15741.17	28.9	24.2	33.8	4300.72	4296.674	4278.82	4320.26
21145	26.2	57186	15737.91	25.85	18.4	31.2	4325.34	4325.4425	4313.49	4342.68
21147	18.3	24877	15177.14	22.7285714285714	17.3	30.5	4125.68	4121.36	4086.85	4141.2
21151	28.7	56697	15058.74	27.9625	18.9	35.9	4055.17	4054.41375	4031.64	4073.13
21153	23.7	36073	14942.77	21.7	17.6	24.1	4003.5	4010.095	3990.41	4028.7
21155	25.5	47473	15168.96	31.2571428571429	19.9	43.6	4116.62	4114.13428571429	4087.89	4139.17
21157	27.6	56588	15833.5	29.5166666666667	25.4	33.5	4320.26	4320.685	4300.72	4342.68
21161	23.7	47206	14911.45	23.425	18.6	26.6	3972.84	3960.375	3934.67	3979.17
21163	22.6	57377	15231.14	21.4	13.3	29.3	4154.91	4158.676	4139.26	4175.02
21167	29.9	54661	15098.29	30.8428571428571	26.7	35.9	4081.76	4078.64428571429	4061.95	4102.7
21171	29.5	39363	15481.1	22.95	20.2	29.5	4181.02	4194.74	4181.02	4209.75
21173	18.3	46729	14958.51	27.825	18.3	34.1	4013.84	4016.2075	3998.3	4031.64
21177	26.8	48522	15502.45	24.6	21.3	27.1	4243.02	4242.73	4214.68	4276.33
21179	36.7	58946	15169.95	28.8625	23.4	36.7	4119.18	4116.755	4080.22	4149.19
21183	24.5	45113	15417.09	26.4833333333333	23.5	29.3	4214.68	4208.33166666667	4175.02	4243.02
21185	30.9	96364	15064.96	28.2	12.7	38.6	4091.13	4089.23666666667	4066.04	4116.44
21187	34.1	50725	15087.42	30.1666666666667	17.2	38.6	4044.69	4049.26166666667	4023.1	4066.04
21193	25.2	42725	14975.24	22.28	18.8	25.2	4048.74	4052.492	4028.7	4070.07
21195	20.9	42453	14874.59	16.78	7.1	20.9	4024.01	4027.546	3998.63	4050.13
21199	29.3	45029	15198.3	25.2625	18.3	34.5	4105.34	4106.065	4073.13	4133.73
21203	18.9	41607	15084.93	28.1142857142857	18.9	34.5	4073.13	4076.05	4055.04	4105.34
21205	23.2	50628	14995.68	25.6	20.3	34.1	3973.31	3975.39	3950.78	3998.3
21207	30.6	38750	15275.29	25.7166666666667	19.9	30.8	4133.73	4127.905	4105.34	4150.66
21209	22.4	73192	15053.08	25.0875	17.2	34.1	4038.86	4039.3825	4016.31	4063.75
21211	33	71349	15094.11	30.5	21.8	38.6	4081.27	4085.58142857143	4063.38	4116.44
21213	25.3	49527	15596.95	24.2	17.8	29	4233.64	4234.39333333333	4209.75	4262.6
21215	30.8	72351	15137.26	29.4666666666667	21.8	36.7	4100.59	4104.01166666667	4080.22	4126.37
21217	43.6	41854	15188.43	28.8333333333333	19.9	43.6	4127.56	4129.175	4105.82	4147.39
21221	33.5	55819	15665.97	27.6666666666667	22.1	33.5	4302.69	4302.21666666667	4276.33	4332.42
21223	32.2	58962	15112.96	28.0833333333333	12.7	38.6	4073.62	4078.39	4059.5	4106.92
21227	29	58863	15542.17	24.6833333333333	20.2	29	4213.44	4217.315	4182.75	4245.85
21229	35.7	50594	15110.81	31.3	25.5	36.7	4102.7	4098.06166666667	4080.22	4119.18
21231	20.1	36346	15269.95	24.8	18.3	30.8	4133.39	4131.66666666667	4105.34	4150.66
21235	23.9	37412	15148.12	22.9	17.3	30.5	4116.84	4114.03571428571	4086.85	4140.22
21239	26.7	76054	15044.53	28.4142857142857	22.4	35.9	4063.75	4061.97714285714	4038.86	4081.76
22001	15.1	46837	17400.78	13.7166666666667	11	15.5	4561.55	4557.10333333333	4541.3	4581.32
22005	21	79246	17425.57	17.4166666666667	10.5	28.7	4511.46	4513.36	4503.36	4524.42
22007	14.8	59656	17345.58	14.45	10.7	21	4518.03	4523.31125	4511.3	4535.86
22009	12.4	42288	17472.67	16.4333333333333	12.4	23	4550.96	4554.31666666667	4521.87	4576.16
22011	17.8	59289	17333.09	15.7	11	18.2	4596.61	4590.625	4581.32	4596.61
22015	17.5	67021	17071.26	14.475	12.1	17.5	4609.67	4611.645	4599.55	4622.39
22017	12.1	53284	17081.6	15.4166666666667	12.1	18.2	4622.39	4626.29333333333	4609.67	4648.92
22019	15.8	56772	17554.51	15.225	11	17.8	4588.53	4582.8475	4564.93	4596.61
22031	18.2	53000	17161.78	14.44	11.6	18.2	4618.04	4616.756	4598.98	4633.62
22033	18.8	63744	17312.93	19.3166666666667	10.7	28.7	4503.36	4508.53833333333	4503.36	4511.59
22037	18.2	51866	17279.06	18.25	17.5	18.8	4507.21	4509.105	4503.36	4519.54
22039	13.5	39834	17432.29	13.4666666666667	11	16.2	4565.02	4562.72333333333	4541.33	4581.32
22041	15	43273	17293.74	15.9	15	16.8	4575.99	4578.985	4575.99	4581.98
22043	20.2	50077	17254.38	18.88	16.2	20.9	4581.75	4582.776	4570.56	4598.98
22045	15.9	51613	17749.25	13.5857142857143	10.7	15.9	4527.88	4528.46	4511.3	4552.1
22047	10.7	56797	17401.37	16.875	10.7	23	4511.3	4515.475	4503.36	4527.88
22051	15.1	61691	17945.98	16.3375	10.5	26.1	4536.29	4528.50625	4516.45	4536.29
22053	11	51250	17471.64	14.7833333333333	11	17.8	4581.32	4574.18833333333	4552.1	4596.61
22055	14.6	69671	17361.2	14.3333333333333	12.3	15.9	4541.3	4541.29166666667	4523.59	4561.55
22057	12.8	60263	18146.34	15.15	10.5	20.9	4535.86	4530.255	4518.03	4536.29
22059	20.9	50072	17325.66	17.94	12.4	20.9	4570.56	4573.172	4550.96	4586.43
22061	13.5	53037	17086.61	18.1	13.5	21.8	4585.6	4583.98	4583.14	4585.6
22063	28.7	67870	17641.45	19.38	10.5	28.7	4511.59	4513.456	4503.36	4524.42
22067	13.1	37171	17034.06	15.9833333333333	11.9	21.8	4583.27	4581.86333333333	4578.91	4583.27
22069	17.1	44368	17233.25	17.3571428571429	11.6	20.2	4598.98	4595.45	4576.16	4618.04
22071	10.9	49948	17999.75	17.15	10.9	26.1	4528.19	4529.435	4517.44	4536.29
22073	21.8	50538	17127.79	16.84	13.1	21.8	4583.2	4583.438	4581.98	4585.6
22075	16.5	61345	19997.76	14.1666666666667	10.9	16.5	4535.82	4533.43333333333	4528.19	4536.29
22077	23	60729	17396.47	14.9166666666667	10.7	23	4521.87	4525.89333333333	4506.31	4550.96
22079	16.2	50803	17327.9	16.9285714285714	12.4	20.9	4576.16	4577.06714285714	4550.96	4598.98
22083	16.8	45641	17177.88	16.675	13.1	21.8	4581.98	4581.11	4575.99	4583.27
22085	11.6	50859	17270.73	15.66	11.6	18.2	4610.75	4611.486	4596.04	4633.62
22089	20.9	69833	17543.25	15.44	10.5	20.9	4533.58	4529.32	4516.45	4536.29
22095	10.5	56556	17629.04	18.1285714285714	10.5	28.7	4524.42	4524.23571428571	4511.46	4536.29
22097	12.6	45530	17431.61	14.7857142857143	12.3	23	4541.33	4543.66	4521.87	4565.02
22099	12.3	51897	17493.03	14.4	10.7	23	4523.59	4526.29	4511.3	4541.33
22101	11.3	48992	17757.58	14.22	11.3	16.8	4525.02	4525.574	4518.03	4533.35
22103	26.1	73790	17620.65	18.5285714285714	10.9	26.1	4517.44	4516.67142857143	4500.78	4536.29
22105	17.9	52864	17646.24	19.3777777777778	10.5	28.7	4516.45	4521.46333333333	4511.59	4536.29
22109	16.8	56429	18254.49	13.925	11.3	16.8	4533.35	4528.065	4518.03	4535.86
22111	19	47372	17095.03	15.4333333333333	11.9	21.8	4583.14	4582.46666666667	4578.91	4585.6
22113	15.5	57183	19064.45	14.42	11	15.9	4552.1	4552.83	4527.88	4581.32
22115	18.2	52619	17303.75	16.18	11.6	18.2	4596.04	4595.708	4576.16	4610.75
22117	18.8	42029	17378.64	21.0666666666667	17.9	26.1	4513.21	4513.865	4500.78	4520.65
22119	14.2	44235	17012.61	14.6333333333333	12.2	17.5	4599.55	4599.57333333333	4589.5	4609.67
22121	18.5	67004	17342.87	17.84	10.7	23	4506.31	4510.01	4503.36	4521.87
22127	20	40864	17256.17	19.55	17.1	20.9	4586.43	4584.43	4570.56	4598.98
23001	14.6	60363	14049.04	21.1333333333333	14.6	29.6	3849.99	3826.41833333333	3747.4	3874.23
23003	16	50246	13242.79	16.98	13.3	21.9	3582.51	3674.978	3582.51	3714.76
23005	29.6	78038	14480.63	23.6	14.6	30.9	3874.23	3855.56	3797.77	3892.59
23007	20.4	52366	13506.29	17.54	14.6	20.4	3747.4	3785.306	3705.47	3849.99
23009	27	61014	13839.26	23.04	15.2	33.1	3762.06	3763.348	3706.85	3832.34
23011	19.3	60866	13928.06	19.8428571428571	14.6	28.5	3825.9	3805.90571428571	3705.47	3863.22
23013	33.1	60749	14208.79	25.95	15.2	33.1	3832.34	3810.94	3762.06	3848.63
23015	28.5	62227	14300.77	24.26	15.2	33.1	3848.63	3834.164	3800.73	3863.22
23017	17.7	50922	13788.57	24.3428571428571	14.6	30.9	3797.77	3822.13857142857	3747.4	3892.59
23019	21.9	56891	13472.59	18.1571428571429	13.3	27	3706.85	3705.38285714286	3582.51	3800.73
