ranger4_index	F1_scores
ranger4_136	0.923076923076923
ranger4_157	0.909090909090909
ranger4_104	0.861111111111111
ranger4_205	0.847012475377544
ranger4_312	0.846567967698519
ranger4_165	0.846153846153846
ranger4_332	0.844382414515004
ranger4_1059	0.841584158415842
ranger4_206	0.840696117804552
ranger4_1149	0.837209302325581
ranger4_277	0.834886817576565
ranger4_266	0.834224598930481
ranger4_1218	0.833576642335766
ranger4_91	0.833082706766917
ranger4_341	0.832786885245902
ranger4_86	0.830769230769231
ranger4_1022	0.83
ranger4_281	0.828673835125448
ranger4_1230	0.828627708470125
ranger4_254	0.828080229226361
ranger4_83	0.826666666666667
ranger4_34	0.824806201550388
ranger4_190	0.823529411764706
ranger4_231	0.82258064516129
ranger4_253	0.822498173849525
ranger4_204	0.822033898305085
ranger4_1239	0.821782178217822
ranger4_1375	0.821478382147838
ranger4_1057	0.821192052980133
ranger4_1494	0.82089552238806
ranger4_1142	0.82051282051282
ranger4_1264	0.819867549668874
ranger4_287	0.819718309859155
ranger4_333	0.81969696969697
ranger4_9	0.819512195121951
ranger4_1133	0.819277108433735
ranger4_1061	0.819107282693814
ranger4_258	0.818521284540702
ranger4_1018	0.818181818181818
ranger4_193	0.81811942347289
ranger4_1020	0.816901408450704
ranger4_173	0.816666666666667
ranger4_1007	0.815789473684211
ranger4_1012	0.815789473684211
ranger4_1262	0.815642458100559
ranger4_1028	0.815519765739385
ranger4_202	0.814919071076707
ranger4_45	0.813559322033898
ranger4_271	0.813411078717201
ranger4_1502	0.813064628214037
ranger4_52	0.812903225806452
ranger4_293	0.810590631364562
ranger4_1114	0.810566037735849
ranger4_63	0.810304449648712
ranger4_147	0.810181818181818
ranger4_1031	0.809716599190283
ranger4_180	0.808988764044944
ranger4_150	0.808940158615717
ranger4_154	0.808856088560886
ranger4_286	0.808478425435276
ranger4_290	0.808333333333333
ranger4_172	0.808163265306122
ranger4_326	0.808080808080808
ranger4_345	0.807775377969762
ranger4_1	0.807692307692308
ranger4_11	0.807453416149068
ranger4_134	0.807142857142857
ranger4_1039	0.807043286867205
ranger4_1067	0.807017543859649
ranger4_224	0.806800618238022
ranger4_1203	0.806020066889632
ranger4_1026	0.805725971370143
ranger4_6	0.80564263322884
ranger4_1199	0.805633802816901
ranger4_1005	0.804455445544555
ranger4_51	0.804289544235925
ranger4_64	0.804232804232804
ranger4_1495	0.804107424960506
ranger4_1192	0.80316742081448
ranger4_166	0.802292263610315
ranger4_1029	0.802098950524738
ranger4_298	0.801526717557252
ranger4_1043	0.801492537313433
ranger4_1001	0.801358234295416
ranger4_62	0.801261829652997
ranger4_263	0.800853485064011
ranger4_1049	0.80064829821718
ranger4_1170	0.800433839479393
ranger4_110	0.8
ranger4_184	0.8
ranger4_200	0.8
ranger4_38	0.8
ranger4_1261	0.798646362098139
ranger4_197	0.798501872659176
ranger4_192	0.797950219619326
ranger4_158	0.797642436149312
ranger4_228	0.797315436241611
ranger4_1268	0.797080291970803
ranger4_255	0.79664570230608
ranger4_303	0.79664570230608
ranger4_1194	0.796610169491525
ranger4_1032	0.796521739130435
ranger4_292	0.79646017699115
ranger4_1161	0.795918367346939
ranger4_1013	0.795716639209226
ranger4_1042	0.795330739299611
ranger4_207	0.795275590551181
ranger4_344	0.794117647058823
ranger4_1527	0.793478260869565
ranger4_3	0.79344262295082
ranger4_279	0.793072014585232
ranger4_276	0.792792792792793
ranger4_59	0.792114695340502
ranger4_32	0.792022792022792
ranger4_265	0.791993037423847
ranger4_1050	0.791569086651054
ranger4_221	0.791551882460973
ranger4_1047	0.791546589817483
ranger4_1010	0.791118421052632
ranger4_1004	0.791044776119403
ranger4_17	0.791018998272884
ranger4_1017	0.790986790986791
ranger4_37	0.790619765494137
ranger4_1069	0.790251107828656
ranger4_1072	0.790243902439024
ranger4_1025	0.78974358974359
ranger4_1023	0.789735099337748
ranger4_1164	0.789579158316633
ranger4_1053	0.789473684210526
ranger4_306	0.788632326820604
ranger4_1219	0.788519637462236
ranger4_159	0.78804347826087
ranger4_1066	0.787553648068669
ranger4_1016	0.78743961352657
ranger4_1014	0.787313432835821
ranger4_156	0.787210584343991
ranger4_1003	0.787096774193548
ranger4_310	0.787003610108303
ranger4_1033	0.786910197869102
ranger4_140	0.786516853932584
ranger4_29	0.786279683377309
ranger4_203	0.786069651741294
ranger4_230	0.78594249201278
ranger4_53	0.785714285714286
ranger4_87	0.785714285714286
ranger4_185	0.78564500484966
ranger4_1006	0.785
ranger4_305	0.783606557377049
ranger4_111	0.783505154639175
ranger4_1242	0.783505154639175
ranger4_1062	0.783284742468416
ranger4_182	0.782608695652174
ranger4_1008	0.782513661202186
ranger4_211	0.782383419689119
ranger4_304	0.782378854625551
ranger4_238	0.782237403928266
ranger4_275	0.782122905027933
ranger4_1241	0.781666666666667
ranger4_1129	0.781643227239082
ranger4_1259	0.781609195402299
ranger4_1015	0.781021897810219
ranger4_1058	0.780701754385965
ranger4_249	0.780442804428044
ranger4_223	0.780373831775701
ranger4_30	0.780045351473923
ranger4_56	0.779661016949152
ranger4_1091	0.779487179487179
ranger4_1371	0.779299847792998
