ranger_index	r2_scores
ranger_182	0.739416898604348
ranger_136	0.718594383026963
ranger_170	0.688896442668899
ranger_200	0.682733740436776
ranger_1149	0.670077958037197
ranger_268	0.622635563828916
ranger_157	0.605994999502587
ranger_1012	0.595019468452467
ranger_274	0.553690588376558
ranger_165	0.54538913388387
ranger_180	0.537588613147506
ranger_308	0.505403314832031
ranger_276	0.491366124045247
ranger_104	0.486060500788791
ranger_1161	0.458199864208012
ranger_1057	0.458150555874539
ranger_272	0.441778906030017
ranger_1242	0.43837967245302
ranger_346	0.435705137049188
ranger_1003	0.434185852319304
ranger_53	0.433285035692978
ranger_173	0.420804040217636
ranger_1004	0.415370754920459
ranger_83	0.40441023375069
ranger_333	0.39941109280562
ranger_86	0.399000648819641
ranger_87	0.376524026426198
ranger_167	0.373611823046474
ranger_1142	0.372266998306249
ranger_11	0.37131575499904
ranger_190	0.368400302268117
ranger_45	0.36750243038774
ranger_88	0.36619988856386
ranger_1024	0.362865093233215
ranger_273	0.35708800958747
ranger_1239	0.35664501205911
ranger_1243	0.351986328962455
ranger_133	0.343715049115831
ranger_254	0.343003827859747
ranger_9	0.339429977909955
ranger_172	0.336143028348071
ranger_345	0.332508354198629
ranger_1262	0.322246677628852
ranger_253	0.321299485314138
ranger_258	0.320202862539622
ranger_230	0.315201335471952
ranger_1526	0.30750130997116
ranger_204	0.307430974535411
ranger_286	0.3054020691668
ranger_266	0.301062595639253
ranger_332	0.29981937888623
ranger_135	0.299777985864189
ranger_331	0.299083198474587
ranger_235	0.293591956378356
ranger_312	0.293514970180107
ranger_41	0.290219949485321
ranger_1378	0.289752342986838
ranger_1014	0.288037062645416
ranger_1054	0.28725551717332
ranger_1059	0.287099016591618
ranger_60	0.284049584985675
ranger_1372	0.283687369353281
ranger_291	0.281642189548894
ranger_256	0.278204373002316
ranger_1028	0.27797541353574
ranger_140	0.275668715758048
ranger_341	0.2746087690842
ranger_298	0.273069467721985
ranger_328	0.27223762910963
ranger_1498	0.271946954111836
ranger_206	0.271077279686802
ranger_290	0.270117708874696
ranger_211	0.269713974845237
ranger_55	0.267208693930891
ranger_271	0.266444772568156
ranger_1248	0.265588520266586
ranger_231	0.263937819709695
ranger_205	0.263499938914995
ranger_1031	0.26199881175471
ranger_1022	0.261671870323548
ranger_1020	0.260807364568636
ranger_17	0.255568668663321
ranger_194	0.253194238665491
ranger_224	0.251066490907093
ranger_151	0.25039110153378
ranger_1049	0.249851542316421
ranger_29	0.249255266816011
ranger_3	0.248367979531507
ranger_1199	0.24633119640672
ranger_1375	0.245418308317943
ranger_252	0.245169125554252
ranger_150	0.24500907000047
ranger_1264	0.243866317309281
ranger_302	0.242687458519079
ranger_37	0.242044442889071
ranger_221	0.239948504459476
ranger_1018	0.239665409135654
ranger_201	0.235981928578133
ranger_71	0.235510360114886
ranger_1061	0.234973488094875
ranger_299	0.234836990542952
ranger_1006	0.234266537033899
ranger_1033	0.233318917535914
ranger_163	0.232588027340885
ranger_304	0.232507291283642
ranger_178	0.231936241567615
ranger_134	0.231261625267956
ranger_1373	0.22989958448831
ranger_245	0.229808222978415
ranger_281	0.229478497711053
ranger_293	0.229429661534436
ranger_1037	0.229377121296655
ranger_262	0.229317006448436
ranger_30	0.226178142611833
ranger_196	0.226007750175085
ranger_1036	0.225915995846053
ranger_1015	0.225468892475643
ranger_51	0.225336616460599
ranger_283	0.224823806710039
ranger_32	0.223908653513261
ranger_1047	0.222350557536464
ranger_1371	0.222265762585381
ranger_1143	0.220766252145627
ranger_1494	0.21965228676886
ranger_203	0.217204062206741
ranger_1017	0.216724951329965
ranger_177	0.215343325193776
ranger_193	0.214824439877191
ranger_63	0.214791022951469
ranger_1030	0.214394909377445
ranger_91	0.21359060201649
ranger_288	0.208845976347773
ranger_1058	0.208725647490347
ranger_303	0.206785351124823
