DRUG_ID	ranger2_index	F1_scores	Num_CL_per_Drug
136	ranger2_136	0.923076923076923	8
157	ranger2_157	0.91304347826087	29
165	ranger2_165	0.886075949367089	49
104	ranger2_104	0.864864864864865	47
83	ranger2_83	0.853333333333333	49
205	ranger2_205	0.84968152866242	899
200	ranger2_200	0.846153846153846	17
312	ranger2_312	0.843915343915344	882
332	ranger2_332	0.840955631399317	877
1149	ranger2_1149	0.837209302325581	30
206	ranger2_206	0.836315440689198	883
1218	ranger2_1218	0.836311651179414	807
277	ranger2_277	0.83289124668435	876
266	ranger2_266	0.832669322709163	898
341	ranger2_341	0.831721470019342	891
1059	ranger2_1059	0.831683168316832	118
86	ranger2_86	0.830769230769231	76
1031	ranger2_1031	0.8300395256917	156
91	ranger2_91	0.827687776141384	389
1230	ranger2_1230	0.827096774193548	892
281	ranger2_281	0.826271186440678	838
1022	ranger2_1022	0.825870646766169	117
253	ranger2_253	0.82560706401766	849
34	ranger2_34	0.824773413897281	379
271	ranger2_271	0.824611032531825	862
1057	ranger2_1057	0.824324324324324	90
9	ranger2_9	0.824074074074074	125
53	ranger2_53	0.823529411764706	73
1133	ranger2_1133	0.823225806451613	444
333	ranger2_333	0.823094004441155	865
45	ranger2_45	0.822916666666667	112
258	ranger2_258	0.82274741506647	852
254	ranger2_254	0.822299651567944	867
287	ranger2_287	0.821428571428572	419
1264	ranger2_1264	0.82088565763384	891
1262	ranger2_1262	0.820338983050847	896
52	ranger2_52	0.820031298904538	371
1020	ranger2_1020	0.818840579710145	820
1018	ranger2_1018	0.81791483113069	823
1061	ranger2_1061	0.8176	755
1375	ranger2_1375	0.816724738675958	871
202	ranger2_202	0.815988973121985	842
1242	ranger2_1242	0.815533980582524	64
1028	ranger2_1028	0.815506101938263	809
193	ranger2_193	0.815294880103694	894
1007	ranger2_1007	0.814814814814815	226
1203	ranger2_1203	0.814580031695721	375
293	ranger2_293	0.814213197969543	602
231	ranger2_231	0.813895781637717	755
345	ranger2_345	0.813704496788008	871
1502	ranger2_1502	0.813186813186813	854
274	ranger2_274	0.8125	68
204	ranger2_204	0.811965811965812	139
1	ranger2_1	0.81149012567325	323
6	ranger2_6	0.810477657935285	382
1142	ranger2_1142	0.810126582278481	47
286	ranger2_286	0.810089020771513	854
154	ranger2_154	0.810071942446043	812
1378	ranger2_1378	0.810035842293907	170
1239	ranger2_1239	0.81	125
150	ranger2_150	0.809893992932862	849
1067	ranger2_1067	0.809775429326288	884
1005	ranger2_1005	0.809234507897934	483
1004	ranger2_1004	0.808823529411765	84
63	ranger2_63	0.808219178082192	254
1494	ranger2_1494	0.807843137254902	159
1039	ranger2_1039	0.806335493160547	813
1043	ranger2_1043	0.806312769010043	816
203	ranger2_203	0.805732484076433	387
