DRUG_ID	F1_score_1	F1_score_2
136	0.923076923076923	0.923076923076923
157	0.91304347826087	0.909090909090909
165	0.886075949367089	0.846153846153846
104	0.864864864864865	0.861111111111111
83	0.853333333333333	0.826666666666667
205	0.84968152866242	0.847012475377544
200	0.846153846153846	0.8
312	0.843915343915344	0.846567967698519
332	0.840955631399317	0.844382414515004
1149	0.837209302325581	0.837209302325581
206	0.836315440689198	0.840696117804552
1218	0.836311651179414	0.833576642335766
277	0.83289124668435	0.834886817576565
266	0.832669322709163	0.834224598930481
341	0.831721470019342	0.832786885245902
1059	0.831683168316832	0.841584158415842
86	0.830769230769231	0.830769230769231
1031	0.8300395256917	0.809716599190283
91	0.827687776141384	0.833082706766917
1230	0.827096774193548	0.828627708470125
281	0.826271186440678	0.828673835125448
1022	0.825870646766169	0.83
253	0.82560706401766	0.822498173849525
34	0.824773413897281	0.824806201550388
271	0.824611032531825	0.813411078717201
1057	0.824324324324324	0.821192052980133
9	0.824074074074074	0.819512195121951
53	0.823529411764706	0.785714285714286
1133	0.823225806451613	0.819277108433735
333	0.823094004441155	0.81969696969697
45	0.822916666666667	0.813559322033898
258	0.82274741506647	0.818521284540702
254	0.822299651567944	0.828080229226361
287	0.821428571428572	0.819718309859155
1264	0.82088565763384	0.819867549668874
1262	0.820338983050847	0.815642458100559
52	0.820031298904538	0.812903225806452
1020	0.818840579710145	0.816901408450704
1018	0.81791483113069	0.818181818181818
1061	0.8176	0.819107282693814
1375	0.816724738675958	0.821478382147838
202	0.815988973121985	0.814919071076707
1242	0.815533980582524	0.783505154639175
1028	0.815506101938263	0.815519765739385
193	0.815294880103694	0.81811942347289
1007	0.814814814814815	0.815789473684211
1203	0.814580031695721	0.806020066889632
293	0.814213197969543	0.810590631364562
231	0.813895781637717	0.82258064516129
345	0.813704496788008	0.807775377969762
1502	0.813186813186813	0.813064628214037
274	0.8125	0.739130434782609
204	0.811965811965812	0.822033898305085
1	0.81149012567325	0.807692307692308
6	0.810477657935285	0.80564263322884
1142	0.810126582278481	0.82051282051282
286	0.810089020771513	0.808478425435276
154	0.810071942446043	0.808856088560886
1378	0.810035842293907	0.76078431372549
1239	0.81	0.821782178217822
150	0.809893992932862	0.808940158615717
1067	0.809775429326288	0.807017543859649
1005	0.809234507897934	0.804455445544555
1004	0.808823529411765	0.791044776119403
63	0.808219178082192	0.810304449648712
1494	0.807843137254902	0.82089552238806
1039	0.806335493160547	0.807043286867205
1043	0.806312769010043	0.801492537313433
203	0.805732484076433	0.786069651741294
1026	0.80561122244489	0.805725971370143
298	0.805369127516779	0.801526717557252
1219	0.804733727810651	0.788519637462236
180	0.804347826086957	0.808988764044944
147	0.804020100502513	0.810181818181818
1114	0.803892215568862	0.810566037735849
326	0.803587443946188	0.808080808080808
1029	0.802650957290133	0.802098950524738
197	0.802621995630007	0.798501872659176
1199	0.80250347705146	0.805633802816901
1001	0.801980198019802	0.801358234295416
1170	0.800851970181044	0.800433839479393
224	0.800604229607251	0.806800618238022
1013	0.800315706393054	0.795716639209226
111	0.8	0.783505154639175
1268	0.8	0.797080291970803
192	0.799431009957326	0.797950219619326
290	0.79901558654635	0.808333333333333
292	0.799007444168735	0.79646017699115
265	0.798977853492334	0.791993037423847
51	0.798927613941019	0.804289544235925
303	0.798387096774194	0.79664570230608
1053	0.798165137614679	0.789473684210526
1049	0.798069187449718	0.80064829821718
1527	0.797843665768194	0.793478260869565
1023	0.797697368421053	0.789735099337748
134	0.797250859106529	0.807142857142857
221	0.797190517998244	0.791551882460973
255	0.796961325966851	0.79664570230608
166	0.796886058032555	0.802292263610315
1192	0.796875	0.80316742081448
1495	0.796862745098039	0.804107424960506
184	0.79664570230608	0.8
119	0.796581196581197	0.778571428571428
1032	0.796264855687606	0.796521739130435
263	0.79606188466948	0.800853485064011
1194	0.796033994334278	0.796610169491525
1161	0.795918367346939	0.795918367346939
1261	0.795751633986928	0.798646362098139
158	0.795019157088123	0.797642436149312
1010	0.794892258579409	0.791118421052632
64	0.794805194805195	0.804232804232804
228	0.794270833333333	0.797315436241611
1047	0.794117647058824	0.791546589817483
62	0.79375	0.801261829652997
1072	0.791955617198336	0.790243902439024
30	0.791569086651054	0.780045351473923
1069	0.791483113069016	0.790251107828656
38	0.791127541589649	0.8
272	0.791044776119403	0.757142857142857
1042	0.790661478599222	0.795330739299611
344	0.790528233151184	0.794117647058823
1050	0.789779326364692	0.791569086651054
1058	0.789699570815451	0.780701754385965
276	0.789473684210526	0.792792792792793
185	0.789272030651341	0.78564500484966
1248	0.789115646258503	0.775086505190311
305	0.788961038961039	0.783606557377049
87	0.788732394366197	0.785714285714286
310	0.788598574821853	0.787003610108303
190	0.788571428571428	0.823529411764706
3	0.788461538461539	0.79344262295082
1066	0.788135593220339	0.787553648068669
1017	0.788064269319051	0.790986790986791
279	0.787234042553192	0.793072014585232
17	0.786776859504132	0.791018998272884
110	0.786764705882353	0.8
59	0.786596119929453	0.792114695340502
1008	0.78646934460888	0.782513661202186
1025	0.786253143336127	0.78974358974359
273	0.786206896551724	0.765957446808511
32	0.786127167630058	0.792022792022792
346	0.786069651741294	0.774509803921569
1016	0.786046511627907	0.78743961352657
37	0.785834738617201	0.790619765494137
1033	0.785822021116139	0.786910197869102
29	0.785340314136126	0.786279683377309
306	0.785211267605634	0.788632326820604
1526	0.784251968503937	0.776666666666667
211	0.783783783783784	0.782383419689119
1014	0.783582089552239	0.787313432835821
156	0.783549783549784	0.787210584343991
1129	0.782608695652174	0.781643227239082
182	0.782608695652174	0.782608695652174
1030	0.7824	0.767123287671233
140	0.782287822878229	0.786516853932584
223	0.781609195402299	0.780373831775701
1003	0.781456953642384	0.787096774193548
207	0.781431334622824	0.795275590551181
226	0.781316348195329	0.77212389380531
230	0.781299524564184	0.78594249201278
308	0.780952380952381	0.741573033707865
1243	0.780821917808219	0.75177304964539
1377	0.780786026200873	0.765137614678899
159	0.780748663101604	0.78804347826087
1037	0.780399274047187	0.773234200743494
1052	0.780049059689289	0.778050778050778
172	0.779661016949152	0.808163265306122
249	0.779569892473118	0.780442804428044
238	0.779547359597653	0.782237403928266
1060	0.779369627507163	0.771260997067449
89	0.778864970645793	0.777777777777778
173	0.778761061946903	0.816666666666667
11	0.778443113772455	0.807453416149068
1175	0.777934936350778	0.764792899408284
1091	0.777889447236181	0.779487179487179
1012	0.777777777777778	0.815789473684211
291	0.77734375	0.772908366533865
1236	0.776951672862453	0.772466539196941
1164	0.776659959758551	0.789579158316633
163	0.77602523659306	0.755852842809364
1259	0.775577557755776	0.781609195402299
1062	0.775313404050145	0.783284742468416
330	0.77511961722488	0.777453838678329
288	0.775097276264591	0.775930324623911
1021	0.775	0.777777777777778
153	0.77370417193426	0.777358490566038
1241	0.773662551440329	0.781666666666667
329	0.773471145564169	0.778947368421053
133	0.773333333333333	0.769230769230769
1006	0.772378516624041	0.785
94	0.772058823529412	0.761363636363636
300	0.771971496437055	0.77511961722488
164	0.771300448430493	0.765661252900232
1038	0.770700636942675	0.767078189300411
106	0.770588235294118	0.768768768768769
1371	0.769945778466305	0.779299847792998
35	0.769759450171821	0.736462093862816
179	0.76969696969697	0.775384615384615
282	0.769596199524941	0.776442307692308
222	0.769041769041769	0.766066838046273
1143	0.767790262172285	0.765249537892791
152	0.767634854771784	0.76889848812095
261	0.767123287671233	0.765911542610572
196	0.766839378238342	0.77120822622108
54	0.766467065868264	0.768916155419223
1372	0.766233766233766	0.778904665314402
304	0.766222222222222	0.782378854625551
229	0.766140602582496	0.76064610866373
275	0.765486725663717	0.782122905027933
1009	0.764912280701754	0.765805877114871
186	0.764857881136951	0.761491760624458
1046	0.764649375600384	0.764878048780488
1015	0.764595103578154	0.781021897810219
71	0.764397905759162	0.770053475935829
171	0.764158918005072	0.767624020887728
199	0.764132553606238	0.776699029126214
135	0.763636363636364	0.747663551401869
1529	0.762677484787018	0.740425531914894
1498	0.762148337595908	0.755674232309746
1024	0.761904761904762	0.776315789473684
260	0.761760242792109	0.763358778625954
1036	0.76063829787234	0.765388046387154
1011	0.75990675990676	0.764497041420118
331	0.759643916913947	0.740963855421687
175	0.759036144578313	0.772
1373	0.758964143426295	0.758691206543967
208	0.757281553398058	0.744650499286733
262	0.756653992395437	0.761149653121903
151	0.756013745704467	0.7651598676957
257	0.755980861244019	0.756554307116105
176	0.755832037325039	0.765163297045101
55	0.755681818181818	0.773109243697479
245	0.754189944134078	0.755681818181818
1019	0.753993610223642	0.753846153846154
