ranger3_index	r2_scores
ranger3_200	0.674712081405456
ranger3_1149	0.616132852512431
ranger3_182	0.599495032813682
ranger3_268	0.579477172334081
ranger3_1012	0.577131278325484
ranger3_136	0.561697585096059
ranger3_170	0.55052399566125
ranger3_274	0.544159439994049
ranger3_165	0.539636579566078
ranger3_157	0.531290824589192
ranger3_1057	0.441045670613596
ranger3_180	0.437952201035693
ranger3_276	0.434851253447307
ranger3_308	0.4209966790861
ranger3_1004	0.416814696997687
ranger3_1161	0.414176393363881
ranger3_346	0.401676033595166
ranger3_272	0.399301194872741
ranger3_1003	0.395224226464028
ranger3_333	0.393018277564605
ranger3_1242	0.387445646171693
ranger3_104	0.382861813793943
ranger3_190	0.381608055318585
ranger3_173	0.367985495596143
ranger3_53	0.367632629306258
ranger3_11	0.361187832158218
ranger3_1239	0.352212764900651
ranger3_86	0.349539739111359
ranger3_254	0.342211398165917
ranger3_1024	0.336642334047237
ranger3_83	0.335931327683422
ranger3_45	0.330168882590182
ranger3_345	0.329951901001671
ranger3_88	0.329944763803856
ranger3_87	0.324483858016638
ranger3_167	0.324425662182361
ranger3_172	0.323762221116567
ranger3_133	0.32019472075331
ranger3_230	0.318604781135792
ranger3_1262	0.318189629215075
ranger3_253	0.314713182621019
ranger3_258	0.312556086032512
ranger3_135	0.307016687771928
ranger3_9	0.305148923978209
ranger3_1243	0.305010035770914
ranger3_1142	0.303078149362309
ranger3_332	0.298511456182394
ranger3_235	0.297250545856054
ranger3_1372	0.294894778097874
ranger3_286	0.291227766966623
ranger3_331	0.290228383454832
ranger3_266	0.287771963499734
ranger3_312	0.287323067081001
ranger3_273	0.286849190105887
ranger3_204	0.282486811377181
ranger3_291	0.278866847213513
ranger3_1526	0.274496084882154
ranger3_206	0.273712880744069
ranger3_1248	0.271912463906374
ranger3_290	0.2705463897704
ranger3_1054	0.270149496850861
ranger3_341	0.270055918068228
ranger3_60	0.268476594118119
ranger3_1020	0.267317994972183
ranger3_211	0.266109939080098
ranger3_231	0.265917978048884
ranger3_55	0.265815716046908
ranger3_1498	0.265775701089041
ranger3_256	0.265680942942153
ranger3_41	0.265361512180643
ranger3_1028	0.264283916610925
ranger3_271	0.26382919341908
ranger3_1059	0.26067449106037
ranger3_298	0.259018548349544
ranger3_1014	0.253807741287661
ranger3_1049	0.253123435404769
ranger3_1031	0.252915110102841
ranger3_140	0.251554251745832
ranger3_1375	0.249122781064953
ranger3_205	0.247972444840679
ranger3_201	0.247740713349758
ranger3_328	0.246435107938803
ranger3_262	0.245605140464086
ranger3_1199	0.24287400045644
ranger3_17	0.242778404801852
ranger3_29	0.240032977004416
ranger3_150	0.239414837595476
ranger3_1378	0.236709747430655
ranger3_224	0.235962868871989
ranger3_1264	0.235039550538269
ranger3_1018	0.233381911566937
ranger3_37	0.233240629004698
ranger3_1061	0.232918527856871
ranger3_194	0.232776473571125
ranger3_178	0.2326211015978
ranger3_1047	0.232539513692014
ranger3_221	0.232255694941329
ranger3_151	0.231338857911768
